x-axis,F1
Hertz,dBV
+31.40000E+03,-103.29712E+00
+31.45000E+03,-88.15063E+00
+31.50000E+03,-96.25854E+00
+31.55000E+03,-98.59253E+00
+31.60000E+03,-97.18384E+00
+31.65000E+03,-95.16235E+00
+31.70000E+03,-106.02417E+00
+31.75000E+03,-108.97583E+00
+31.80000E+03,-98.39478E+00
+31.85000E+03,-108.85620E+00
+31.90000E+03,-100.15747E+00
+31.95000E+03,-99.62769E+00
+32.00000E+03,-109.69116E+00
+32.05000E+03,-95.66284E+00
+32.10000E+03,-102.69897E+00
+32.15000E+03,-95.42603E+00
+32.20000E+03,-108.30200E+00
+32.25000E+03,-100.56519E+00
+32.30000E+03,-100.81665E+00
+32.35000E+03,-103.77808E+00
+32.40000E+03,-95.66772E+00
+32.45000E+03,-91.72485E+00
+32.50000E+03,-96.31958E+00
+32.55000E+03,-105.08911E+00
+32.60000E+03,-99.15649E+00
+32.65000E+03,-94.30786E+00
+32.70000E+03,-99.97681E+00
+32.75000E+03,-100.25757E+00
+32.80000E+03,-104.13208E+00
+32.85000E+03,-105.04761E+00
+32.90000E+03,-94.27856E+00
+32.95000E+03,-108.68774E+00
+33.00000E+03,-100.04028E+00
+33.05000E+03,-66.35864E+00
+33.10000E+03,-104.27856E+00
+33.15000E+03,-104.15649E+00
+33.20000E+03,-98.75610E+00
+33.25000E+03,-104.14917E+00
+33.30000E+03,-99.28589E+00
+33.35000E+03,-106.37817E+00
+33.40000E+03,-97.63306E+00
+33.45000E+03,-91.24390E+00
+33.50000E+03,-103.37036E+00
+33.55000E+03,-98.15308E+00
+33.60000E+03,-99.20776E+00
+33.65000E+03,-100.59204E+00
+33.70000E+03,-106.30249E+00
+33.75000E+03,-103.58276E+00
+33.80000E+03,-105.76294E+00
+33.85000E+03,-108.00171E+00
+33.90000E+03,-108.96362E+00
+33.95000E+03,-111.76147E+00
+34.00000E+03,-103.60229E+00
+34.05000E+03,-87.72339E+00
+34.10000E+03,-102.11792E+00
+34.15000E+03,-115.89233E+00
+34.20000E+03,-99.27612E+00
+34.25000E+03,-109.63989E+00
+34.30000E+03,-96.99829E+00
+34.35000E+03,-112.29858E+00
+34.40000E+03,-102.37915E+00
+34.45000E+03,-91.71509E+00
+34.50000E+03,-99.28101E+00
+34.55000E+03,-98.92212E+00
+34.60000E+03,-101.02661E+00
+34.65000E+03,-100.94116E+00
+34.70000E+03,-100.13794E+00
+34.75000E+03,-97.22534E+00
+34.80000E+03,-106.23413E+00
+34.85000E+03,-99.76929E+00
+34.90000E+03,-101.09253E+00
+34.95000E+03,-107.65991E+00
+35.00000E+03,-94.92554E+00
+35.05000E+03,-63.32886E+00
+35.10000E+03,-108.17261E+00
+35.15000E+03,-111.17554E+00
+35.20000E+03,-116.12671E+00
+35.25000E+03,-106.10474E+00
+35.30000E+03,-104.15161E+00
+35.35000E+03,-99.18091E+00
+35.40000E+03,-101.10718E+00
+35.45000E+03,-89.85962E+00
+35.50000E+03,-101.38550E+00
+35.55000E+03,-102.32300E+00
+35.60000E+03,-99.50806E+00
+35.65000E+03,-98.24097E+00
+35.70000E+03,-104.71313E+00
+35.75000E+03,-110.72144E+00
+35.80000E+03,-99.66187E+00
+35.85000E+03,-100.57007E+00
+35.90000E+03,-106.01685E+00
+35.95000E+03,-97.33765E+00
+36.00000E+03,-104.93042E+00
+36.05000E+03,-83.78784E+00
+36.10000E+03,-111.30493E+00
+36.15000E+03,-102.36206E+00
+36.20000E+03,-96.60278E+00
+36.25000E+03,-106.47827E+00
+36.30000E+03,-100.90454E+00
+36.35000E+03,-103.79517E+00
+36.40000E+03,-115.74097E+00
+36.45000E+03,-85.71899E+00
+36.50000E+03,-106.50024E+00
+36.55000E+03,-104.89380E+00
+36.60000E+03,-104.42261E+00
+36.65000E+03,-96.88599E+00
+36.70000E+03,-102.98218E+00
+36.75000E+03,-99.06128E+00
+36.80000E+03,-96.02905E+00
+36.85000E+03,-102.51099E+00
+36.90000E+03,-97.19604E+00
+36.95000E+03,-99.78149E+00
+37.00000E+03,-101.41235E+00
+37.05000E+03,-61.98120E+00
+37.10000E+03,-99.58618E+00
+37.15000E+03,-104.63257E+00
+37.20000E+03,-107.13989E+00
+37.25000E+03,-109.59106E+00
+37.30000E+03,-98.04321E+00
+37.35000E+03,-106.63940E+00
+37.40000E+03,-92.98218E+00
+37.45000E+03,-88.80493E+00
+37.50000E+03,-105.59937E+00
+37.55000E+03,-105.08667E+00
+37.60000E+03,-106.60278E+00
+37.65000E+03,-101.48560E+00
+37.70000E+03,-99.56665E+00
+37.75000E+03,-106.35620E+00
+37.80000E+03,-102.09839E+00
+37.85000E+03,-102.05933E+00
+37.90000E+03,-111.96167E+00
+37.95000E+03,-98.72681E+00
+38.00000E+03,-103.62183E+00
+38.05000E+03,-95.87036E+00
+38.10000E+03,-95.94360E+00
+38.15000E+03,-98.76587E+00
+38.20000E+03,-96.81763E+00
+38.25000E+03,-107.30103E+00
+38.30000E+03,-102.97485E+00
+38.35000E+03,-109.36646E+00
+38.40000E+03,-107.65259E+00
+38.45000E+03,-89.11743E+00
+38.50000E+03,-107.53784E+00
+38.55000E+03,-96.31714E+00
+38.60000E+03,-99.23950E+00
